2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.5
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.0
2023-06-13|02:38:00|client payment|Adobe|377.91
2023-06-01|22:22:00|printer ink|Best Buy|1401.95
2023-06-14|14:51:00|laptop bag|Adobe|962.08
2023-05-22|20:30:00|ergonomic keyboard|Best Buy|468.08
2023-05-15|18:05:00|ergonomic keyboard|Dell|-1145.3
2023-04-21|12:19:00|client payment|AT&T|613.65
2023-06-03|16:11:00|internet service|Best Buy|-1701.81
2023-06-04|12:26:00|internet service|Amazon|-1552.2
2023-04-22|16:49:00|internet service|Adobe|256.67
2023-04-21|05:51:00|internet service|AT&T|637.05
2023-05-15|20:55:00|software subscription|Starbucks|474.04
2023-04-17|12:07:00|Invoice 1001 paid|Adobe|-170.23
2023-04-28|11:27:00|utility bill|Joe|80.73
2023-05-13|07:47:00|client payment|Dell|378.67
2023-05-19|11:41:00|client payment|Office Depot|437.16
2023-06-07|04:04:00|laptop bag|AT&T|-1420.55
2023-05-03|06:02:00|ergonomic keyboard|Joe|-628.78
2023-05-01|18:34:00|Invoice 1001 paid|Office Depot|1443.96
2023-05-07|03:02:00|client payment|Best Buy|-1819.36
2023-04-22|07:11:00|internet service|Best Buy|759.27
2023-06-05|01:11:00|software subscription|Joe|737.57
2023-05-20|19:40:00|utility bill|Amazon|-553.94
2023-04-15|10:41:00|Invoice 1001 paid|Dell|-1262.81
2023-06-10|02:13:00|software subscription|Duke Energy|-328.5
2023-06-05|23:37:00|printer ink|Best Buy|544.05
2023-06-06|03:30:00|office chair|Office Depot|747.06
2023-04-23|22:02:00|software subscription|Amazon|-199.67
2023-04-29|09:02:00|printer ink|Client XYZ|1196.11
2023-04-28|12:33:00|coffee purchase|Starbucks|-1572.01
2023-05-18|05:36:00|laptop bag|AT&T|393.46
2023-05-19|18:05:00|office chair|Joe|1126.68
2023-06-06|04:48:00|software subscription|Office Depot|889.66
2023-04-25|21:59:00|coffee purchase|Duke Energy|1831.41
2023-05-29|23:03:00|laptop bag|Office Depot|-1150.97
2023-05-15|11:11:00|internet service|Joe|1002.49
2023-05-12|22:37:00|office chair|Duke Energy|-1635.84
2023-06-05|10:06:00|laptop bag|Office Depot|1832.65
2023-04-17|10:45:00|office chair|Amazon|-1809.75
2023-05-24|11:10:00|printer ink|Joe|431.16
